deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
0,5,0,3-1-0-2,-3,false,-1.2,92,
0,5,1,1-2-3-0,2,true,1.1,115,
1,5,0,3-1-0-2,-3,false,-1.2,94,
1,5,1,2-0-1-3,-3,false,-1.2,95,
2,K,0,3-0-1-2,-2,false,-1.1,107,
2,K,1,0-3-1-2,-1,false,-1.0,112,
3,7,0,2-1-3-0,1,true,1.0,106,
3,7,1,2-0-1-3,-3,false,-1.2,93,
4,5,0,1-0-2-3,-1,false,-1.0,105,
4,5,1,2-1-0-3,-2,false,-1.1,92,
5,T,0,1-0-2-3,-1,false,-1.0,119,
5,T,1,2-3-1-0,-1,false,-1.0,134,
6,7,0,3-1-0-2,-3,false,-1.2,79,
6,7,1,3-2-1-0,2,true,1.1,98,
7,2,0,1-2-3-0,-2,false,-1.1,91,
7,2,1,2-0-1-3,-3,false,-1.2,106,
8,A,0,2-3-1-0,1,true,1.0,84,
8,A,1,1-3-0-2,3,true,1.2,110,
9,J,0,2-0-1-3,3,true,1.2,79,
9,J,1,2-1-3-0,-1,false,-1.0,110,
10,4,0,0-1-2-3,2,true,1.1,105,
10,4,1,3-0-2-1,1,true,1.0,101,
11,J,0,0-1-3-2,1,true,1.0,83,
11,J,1,1-0-3-2,2,true,1.1,93,
12,A,0,1-0-2-3,-1,false,-1.0,88,
12,A,1,3-1-0-2,3,true,1.2,101,
13,8,0,3-1-0-2,-3,false,-1.2,83,
13,8,1,0-1-3-2,-1,false,-1.0,91,
14,2,0,1-3-0-2,-3,false,-1.2,101,
14,2,1,2-0-1-3,-3,false,-1.2,95,
15,8,0,0-3-1-2,1,true,1.0,117,
15,8,1,3-1-0-2,3,true,1.2,115,
16,T,0,1-2-0-3,-1,false,-1.0,101,
16,T,1,3-1-0-2,3,true,1.2,89,
17,3,0,3-0-2-1,-1,false,-1.0,96,
17,3,1,0-2-1-3,-3,false,-1.2,116,
18,3,0,0-2-1-3,3,true,1.2,123,
18,3,1,1-0-2-3,1,true,1.0,110,
19,6,0,1-3-0-2,-3,false,-1.2,105,
19,6,1,1-0-2-3,1,true,1.0,126,
20,J,0,1-2-3-0,-2,false,-1.1,120,
20,J,1,3-2-1-0,2,true,1.1,116,
21,6,0,2-3-1-0,1,true,1.0,107,
21,6,1,3-1-0-2,3,true,1.2,98,
22,A,0,0-2-1-3,3,true,1.2,107,
22,A,1,1-2-0-3,1,true,1.0,99,
23,2,0,1-0-3-2,-2,false,-1.1,90,
23,2,1,1-0-2-3,1,true,1.0,105,
24,5,0,0-2-1-3,3,true,1.2,122,
24,5,1,3-0-2-1,1,true,1.0,124,
25,2,0,0-1-3-2,1,true,1.0,111,
25,2,1,1-2-0-3,1,true,1.0,102,
26,2,0,0-3-1-2,1,true,1.0,112,
26,2,1,3-1-0-2,3,true,1.2,103,
27,8,0,1-0-2-3,-1,false,-1.0,105,
27,8,1,1-3-0-2,3,true,1.2,109,
28,8,0,3-1-0-2,-3,false,-1.2,100,
28,8,1,1-2-0-3,1,true,1.0,107,
29,9,0,2-1-3-0,1,true,1.0,99,
29,9,1,3-0-2-1,1,true,1.0,99,
