deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
0,7,0,1-3-0-2,-3,false,-1.2,87,
0,7,1,1-0-3-2,2,true,1.1,79,
1,7,0,3-1-0-2,-3,false,-1.2,100,
1,7,1,3-1-0-2,3,true,1.2,112,
2,3,0,1-0-2-3,-1,false,-1.0,91,
2,3,1,1-0-3-2,2,true,1.1,105,
3,A,0,2-1-3-0,1,true,1.0,113,
3,A,1,2-0-1-3,-3,false,-1.2,106,
4,Q,0,2-1-3-0,1,true,1.0,108,
4,Q,1,3-0-2-1,1,true,1.0,99,
5,2,0,2-3-1-0,1,true,1.0,110,
5,2,1,3-1-0-2,3,true,1.2,95,
6,5,0,0-2-1-3,3,true,1.2,106,
6,5,1,1-2-3-0,2,true,1.1,95,
7,K,0,3-2-0-1,-1,false,-1.0,102,
7,K,1,3-0-1-2,2,true,1.1,101,
8,A,0,3-0-2-1,-1,false,-1.0,81,
8,A,1,3-0-2-1,1,true,1.0,99,
9,K,0,2-0-1-3,3,true,1.2,95,
9,K,1,1-3-0-2,3,true,1.2,88,
10,Q,0,3-0-1-2,-2,false,-1.1,87,
10,Q,1,0-3-2-1,-2,false,-1.1,101,
11,J,0,0-3-2-1,2,true,1.1,98,
11,J,1,3-1-0-2,3,true,1.2,112,
12,7,0,3-0-1-2,-2,false,-1.1,88,
12,7,1,1-3-0-2,3,true,1.2,84,
13,J,0,1-2-3-0,-2,false,-1.1,94,
13,J,1,1-2-0-3,1,true,1.0,101,
14,J,0,3-0-1-2,-2,false,-1.1,89,
14,J,1,1-3-0-2,3,true,1.2,97,
15,4,0,2-0-1-3,3,true,1.2,94,
15,4,1,3-0-2-1,1,true,1.0,115,
16,3,0,2-0-1-3,3,true,1.2,109,
16,3,1,1-3-0-2,3,true,1.2,94,
17,2,0,3-0-2-1,-1,false,-1.0,93,
17,2,1,0-3-2-1,-2,false,-1.1,73,
18,A,0,1-2-0-3,-1,false,-1.0,93,
18,A,1,1-2-3-0,2,true,1.1,96,
19,Q,0,0-2-1-3,3,true,1.2,85,
19,Q,1,3-2-0-1,1,true,1.0,92,
20,T,0,2-0-1-3,3,true,1.2,95,
20,T,1,0-2-1-3,-3,false,-1.2,80,
21,3,0,2-1-0-3,2,true,1.1,110,
21,3,1,2-0-1-3,-3,false,-1.2,106,
22,J,0,1-0-3-2,-2,false,-1.1,105,
22,J,1,1-2-3-0,2,true,1.1,101,
23,K,0,0-1-3-2,1,true,1.0,93,
23,K,1,3-1-0-2,3,true,1.2,94,
24,Q,0,0-3-2-1,2,true,1.1,90,
24,Q,1,0-1-2-3,-2,false,-1.1,94,
25,8,0,1-2-0-3,-1,false,-1.0,95,
25,8,1,1-0-2-3,1,true,1.0,85,
26,J,0,3-0-2-1,-1,false,-1.0,97,
26,J,1,1-3-0-2,3,true,1.2,107,
27,4,0,2-3-1-0,1,true,1.0,101,
27,4,1,2-1-0-3,-2,false,-1.1,100,
28,3,0,3-2-0-1,-1,false,-1.0,105,
28,3,1,2-3-1-0,-1,false,-1.0,100,
29,9,0,2-1-3-0,1,true,1.0,106,
29,9,1,1-0-2-3,1,true,1.0,111,
