deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
0,2,0,2-1-3-0,1,true,1.0,121,
0,2,1,1-0-2-3,1,true,1.0,92,
1,J,0,2-1-0-3,2,true,1.1,129,
1,J,1,2-0-1-3,-3,false,-1.2,110,
2,K,0,2-3-1-0,1,true,1.0,116,
2,K,1,2-3-1-0,-1,false,-1.0,117,
3,9,0,0-2-1-3,3,true,1.2,90,
3,9,1,0-1-3-2,-1,false,-1.0,129,
4,9,0,0-2-1-3,3,true,1.2,111,
4,9,1,3-1-0-2,3,true,1.2,107,
5,6,0,2-0-1-3,3,true,1.2,115,
5,6,1,3-1-0-2,3,true,1.2,115,
6,J,0,0-2-1-3,3,true,1.2,102,
6,J,1,1-3-0-2,3,true,1.2,131,
7,A,0,3-0-2-1,-1,false,-1.0,112,
7,A,1,3-1-0-2,3,true,1.2,125,
8,A,0,0-3-1-2,1,true,1.0,116,
8,A,1,3-0-2-1,1,true,1.0,109,
9,5,0,0-2-1-3,3,true,1.2,87,
9,5,1,3-1-0-2,3,true,1.2,108,
10,2,0,0-2-1-3,3,true,1.2,115,
10,2,1,1-2-0-3,1,true,1.0,101,
11,9,0,3-2-0-1,-1,false,-1.0,125,
11,9,1,3-1-0-2,3,true,1.2,107,
12,K,0,2-0-1-3,3,true,1.2,99,
12,K,1,0-2-1-3,-3,false,-1.2,106,
13,3,0,2-0-1-3,3,true,1.2,95,
13,3,1,3-1-0-2,3,true,1.2,92,
14,9,0,2-0-1-3,3,true,1.2,102,
14,9,1,1-3-0-2,3,true,1.2,103,
15,A,0,2-3-0-1,2,true,1.1,106,
15,A,1,3-1-0-2,3,true,1.2,94,
16,8,0,2-0-1-3,3,true,1.2,120,
16,8,1,1-3-0-2,3,true,1.2,106,
17,Q,0,1-0-3-2,-2,false,-1.1,112,
17,Q,1,1-3-0-2,3,true,1.2,111,
18,A,0,2-1-3-0,1,true,1.0,137,
18,A,1,1-0-2-3,1,true,1.0,116,
19,3,0,2-0-1-3,3,true,1.2,110,
19,3,1,1-3-0-2,3,true,1.2,100,
20,9,0,2-1-3-0,1,true,1.0,114,
20,9,1,1-3-0-2,3,true,1.2,117,
21,3,0,2-0-1-3,3,true,1.2,106,
21,3,1,0-2-1-3,-3,false,-1.2,126,
22,8,0,2-0-1-3,3,true,1.2,141,
22,8,1,1-3-0-2,3,true,1.2,110,
23,A,0,1-2-0-3,-1,false,-1.0,116,
23,A,1,1-3-0-2,3,true,1.2,147,
24,8,0,0-3-1-2,1,true,1.0,142,
24,8,1,3-0-2-1,1,true,1.0,110,
25,6,0,0-2-1-3,3,true,1.2,101,
25,6,1,3-2-0-1,1,true,1.0,135,
26,7,0,0-2-1-3,3,true,1.2,88,
26,7,1,0-1-3-2,-1,false,-1.0,106,
27,5,0,2-0-1-3,3,true,1.2,84,
27,5,1,0-1-3-2,-1,false,-1.0,129,
28,2,0,2-1-3-0,1,true,1.0,126,
28,2,1,0-2-1-3,-3,false,-1.2,108,
29,Q,0,2-3-1-0,1,true,1.0,129,
29,Q,1,2-3-1-0,-1,false,-1.0,144,
30,5,0,3-1-0-2,-3,false,-1.2,78,
30,5,1,1-3-0-2,3,true,1.2,95,
31,8,0,1-3-0-2,-3,false,-1.2,109,
31,8,1,0-3-1-2,-1,false,-1.0,108,
32,3,0,1-3-0-2,-3,false,-1.2,128,
32,3,1,0-2-1-3,-3,false,-1.2,95,
33,2,0,1-3-0-2,-3,false,-1.2,106,
33,2,1,1-2-0-3,1,true,1.0,136,
34,2,0,0-1-3-2,1,true,1.0,116,
34,2,1,1-0-2-3,1,true,1.0,134,
35,J,0,3-0-2-1,-1,false,-1.0,106,
35,J,1,3-2-0-1,1,true,1.0,115,
36,Q,0,0-2-1-3,3,true,1.2,116,
36,Q,1,1-3-0-2,3,true,1.2,81,
37,7,0,0-2-1-3,3,true,1.2,95,
37,7,1,0-3-1-2,-1,false,-1.0,116,
38,6,0,0-1-3-2,1,true,1.0,117,
38,6,1,3-1-0-2,3,true,1.2,114,
39,2,0,2-0-1-3,3,true,1.2,105,
39,2,1,3-0-2-1,1,true,1.0,97,
40,9,0,1-0-3-2,-2,false,-1.1,86,
40,9,1,3-1-0-2,3,true,1.2,94,
41,7,0,2-0-1-3,3,true,1.2,95,
41,7,1,1-3-0-2,3,true,1.2,98,
42,4,0,1-2-0-3,-1,false,-1.0,95,
42,4,1,3-1-0-2,3,true,1.2,104,
43,6,0,0-3-1-2,1,true,1.0,113,
43,6,1,2-0-1-3,-3,false,-1.2,114,
44,4,0,2-0-1-3,3,true,1.2,84,
44,4,1,0-1-3-2,-1,false,-1.0,86,
45,A,0,3-2-0-1,-1,false,-1.0,112,
45,A,1,3-1-0-2,3,true,1.2,95,
46,8,0,0-1-3-2,1,true,1.0,111,
46,8,1,3-1-0-2,3,true,1.2,89,
47,4,0,0-2-1-3,3,true,1.2,107,
47,4,1,0-2-1-3,-3,false,-1.2,142,
48,6,0,1-3-0-2,-3,false,-1.2,140,
48,6,1,1-3-0-2,3,true,1.2,110,
49,A,0,2-0-1-3,3,true,1.2,110,
49,A,1,3-1-0-2,3,true,1.2,117,
50,7,0,1-3-0-2,-3,false,-1.2,113,
50,7,1,1-2-0-3,1,true,1.0,96,
51,4,0,2-1-3-0,1,true,1.0,126,
51,4,1,1-2-0-3,1,true,1.0,115,
52,7,0,2-3-1-0,1,true,1.0,127,
52,7,1,1-0-2-3,1,true,1.0,104,
53,6,0,2-0-1-3,3,true,1.2,114,
53,6,1,1-3-0-2,3,true,1.2,97,
54,J,0,2-0-1-3,3,true,1.2,106,
54,J,1,1-2-0-3,1,true,1.0,95,
55,8,0,2-0-1-3,3,true,1.2,103,
55,8,1,1-3-0-2,3,true,1.2,123,
56,3,0,0-3-1-2,1,true,1.0,113,
56,3,1,1-3-0-2,3,true,1.2,100,
57,4,0,0-2-1-3,3,true,1.2,126,
57,4,1,1-3-0-2,3,true,1.2,108,
58,2,0,1-0-3-2,-2,false,-1.1,145,
58,2,1,1-2-0-3,1,true,1.0,130,
59,K,0,0-3-1-2,1,true,1.0,125,
59,K,1,3-0-2-1,1,true,1.0,135,
60,2,0,0-1-3-2,1,true,1.0,101,
60,2,1,3-0-2-1,1,true,1.0,98,
61,K,0,2-0-1-3,3,true,1.2,105,
61,K,1,3-1-0-2,3,true,1.2,127,
62,8,0,2-0-1-3,3,true,1.2,113,
62,8,1,1-2-3-0,2,true,1.1,90,
63,2,0,1-3-0-2,-3,false,-1.2,119,
63,2,1,1-2-0-3,1,true,1.0,109,
64,4,0,0-2-1-3,3,true,1.2,99,
64,4,1,3-1-0-2,3,true,1.2,88,
65,7,0,1-0-2-3,-1,false,-1.0,120,
65,7,1,3-0-2-1,1,true,1.0,89,
66,K,0,0-2-1-3,3,true,1.2,113,
66,K,1,3-1-0-2,3,true,1.2,120,
67,T,0,0-1-3-2,1,true,1.0,129,
67,T,1,0-3-2-1,-2,false,-1.1,128,
68,7,0,2-3-1-0,1,true,1.0,123,
68,7,1,1-2-0-3,1,true,1.0,106,
69,9,0,0-2-1-3,3,true,1.2,114,
69,9,1,3-1-0-2,3,true,1.2,103,
70,4,0,0-1-3-2,1,true,1.0,122,
70,4,1,1-0-3-2,2,true,1.1,119,
71,T,0,0-2-1-3,3,true,1.2,102,
71,T,1,1-3-0-2,3,true,1.2,108,
72,6,0,0-3-1-2,1,true,1.0,105,
72,6,1,1-3-0-2,3,true,1.2,108,
73,A,0,3-0-1-2,-2,false,-1.1,91,
73,A,1,1-3-0-2,3,true,1.2,102,
74,2,0,3-0-1-2,-2,false,-1.1,112,
74,2,1,3-1-0-2,3,true,1.2,116,
75,8,0,0-3-1-2,1,true,1.0,116,
75,8,1,3-1-0-2,3,true,1.2,112,
76,9,0,0-2-1-3,3,true,1.2,88,
76,9,1,1-3-0-2,3,true,1.2,105,
77,5,0,1-3-0-2,-3,false,-1.2,125,
77,5,1,0-3-1-2,-1,false,-1.0,128,
78,4,0,2-3-1-0,1,true,1.0,141,
78,4,1,1-3-0-2,3,true,1.2,93,
79,6,0,2-0-1-3,3,true,1.2,105,
79,6,1,1-3-0-2,3,true,1.2,100,
80,6,0,1-2-0-3,-1,false,-1.0,132,
80,6,1,1-2-3-0,2,true,1.1,110,
81,3,0,0-2-1-3,3,true,1.2,126,
81,3,1,1-3-0-2,3,true,1.2,109,
82,A,0,2-0-1-3,3,true,1.2,119,
82,A,1,1-0-2-3,1,true,1.0,110,
83,6,0,0-2-1-3,3,true,1.2,105,
83,6,1,3-1-0-2,3,true,1.2,96,
84,4,0,0-2-1-3,3,true,1.2,117,
84,4,1,1-3-0-2,3,true,1.2,94,
85,A,0,2-1-3-0,1,true,1.0,98,
85,A,1,3-1-0-2,3,true,1.2,106,
86,2,0,3-0-2-1,-1,false,-1.0,109,
86,2,1,2-3-1-0,-1,false,-1.0,121,
87,2,0,3-1-0-2,-3,false,-1.2,110,
87,2,1,3-1-0-2,3,true,1.2,118,
88,5,0,1-0-2-3,-1,false,-1.0,98,
88,5,1,1-3-0-2,3,true,1.2,126,
89,J,0,0-3-1-2,1,true,1.0,129,
89,J,1,3-1-0-2,3,true,1.2,133,
90,9,0,3-2-0-1,-1,false,-1.0,135,
90,9,1,3-1-0-2,3,true,1.2,86,
91,9,0,2-0-1-3,3,true,1.2,84,
91,9,1,3-2-0-1,1,true,1.0,127,
92,5,0,2-0-1-3,3,true,1.2,115,
92,5,1,3-2-0-1,1,true,1.0,89,
93,2,0,2-0-1-3,3,true,1.2,89,
93,2,1,1-2-0-3,1,true,1.0,100,
94,2,0,0-3-1-2,1,true,1.0,125,
94,2,1,1-3-0-2,3,true,1.2,107,
95,8,0,0-3-1-2,1,true,1.0,131,
95,8,1,2-1-3-0,-1,false,-1.0,119,
96,8,0,0-1-3-2,1,true,1.0,109,
96,8,1,1-3-0-2,3,true,1.2,116,
97,2,0,3-2-0-1,-1,false,-1.0,121,
97,2,1,2-0-1-3,-3,false,-1.2,87,
98,9,0,2-0-1-3,3,true,1.2,92,
98,9,1,1-3-0-2,3,true,1.2,102,
99,K,0,2-0-1-3,3,true,1.2,106,
99,K,1,3-0-2-1,1,true,1.0,103,
100,5,0,2-0-1-3,3,true,1.2,129,
100,5,1,3-1-0-2,3,true,1.2,139,
101,K,0,0-2-1-3,3,true,1.2,110,
101,K,1,1-0-2-3,1,true,1.0,110,
102,K,0,2-3-1-0,1,true,1.0,132,
102,K,1,3-1-0-2,3,true,1.2,120,
103,7,0,0-2-1-3,3,true,1.2,87,
103,7,1,3-1-0-2,3,true,1.2,116,
104,T,0,2-0-1-3,3,true,1.2,97,
104,T,1,3-1-0-2,3,true,1.2,125,
105,8,0,2-0-1-3,3,true,1.2,105,
105,8,1,1-3-0-2,3,true,1.2,111,
106,9,0,2-0-1-3,3,true,1.2,96,
106,9,1,2-0-1-3,-3,false,-1.2,111,
107,K,0,3-0-2-1,-1,false,-1.0,109,
107,K,1,3-1-0-2,3,true,1.2,88,
108,2,0,1-2-0-3,-1,false,-1.0,123,
108,2,1,2-0-1-3,-3,false,-1.2,110,
109,7,0,0-2-1-3,3,true,1.2,88,
109,7,1,1-3-0-2,3,true,1.2,85,
110,9,0,2-0-1-3,3,true,1.2,97,
110,9,1,3-1-0-2,3,true,1.2,126,
111,9,0,0-2-1-3,3,true,1.2,109,
111,9,1,3-1-0-2,3,true,1.2,114,
112,9,0,3-2-0-1,-1,false,-1.0,94,
112,9,1,1-3-0-2,3,true,1.2,100,
113,A,0,0-3-1-2,1,true,1.0,134,
113,A,1,2-3-1-0,-1,false,-1.0,122,
114,T,0,2-0-1-3,3,true,1.2,119,
114,T,1,1-3-0-2,3,true,1.2,105,
115,7,0,0-2-1-3,3,true,1.2,122,
115,7,1,3-2-0-1,1,true,1.0,139,
116,J,0,0-2-1-3,3,true,1.2,127,
116,J,1,3-1-0-2,3,true,1.2,109,
117,6,0,0-2-1-3,3,true,1.2,88,
117,6,1,1-3-0-2,3,true,1.2,89,
118,K,0,3-1-0-2,-3,false,-1.2,140,
118,K,1,3-1-0-2,3,true,1.2,129,
119,Q,0,0-2-1-3,3,true,1.2,86,
119,Q,1,1-3-0-2,3,true,1.2,125,
120,K,0,0-3-1-2,1,true,1.0,132,
120,K,1,0-1-2-3,-2,false,-1.1,124,
121,T,0,0-2-1-3,3,true,1.2,94,
121,T,1,2-1-3-0,-1,false,-1.0,105,
122,K,0,3-0-1-2,-2,false,-1.1,116,
122,K,1,3-1-0-2,3,true,1.2,94,
123,K,0,0-1-2-3,2,true,1.1,113,
123,K,1,1-3-0-2,3,true,1.2,119,
124,K,0,2-0-1-3,3,true,1.2,82,
124,K,1,1-2-3-0,2,true,1.1,95,
125,9,0,2-1-0-3,2,true,1.1,124,
125,9,1,3-1-0-2,3,true,1.2,93,
126,8,0,2-0-1-3,3,true,1.2,112,
126,8,1,3-1-0-2,3,true,1.2,116,
127,4,0,1-0-2-3,-1,false,-1.0,98,
127,4,1,1-3-0-2,3,true,1.2,94,
128,9,0,2-1-3-0,1,true,1.0,103,
128,9,1,2-1-3-0,-1,false,-1.0,143,
129,3,0,2-0-1-3,3,true,1.2,92,
129,3,1,3-0-1-2,2,true,1.1,114,
130,6,0,0-2-1-3,3,true,1.2,94,
130,6,1,1-3-0-2,3,true,1.2,126,
131,9,0,0-3-2-1,2,true,1.1,110,
131,9,1,0-2-1-3,-3,false,-1.2,97,
132,4,0,0-2-1-3,3,true,1.2,111,
132,4,1,2-1-3-0,-1,false,-1.0,98,
133,Q,0,0-2-1-3,3,true,1.2,98,
133,Q,1,1-0-2-3,1,true,1.0,121,
134,2,0,0-1-3-2,1,true,1.0,117,
134,2,1,3-0-2-1,1,true,1.0,99,
135,8,0,0-2-1-3,3,true,1.2,106,
135,8,1,1-2-0-3,1,true,1.0,125,
136,J,0,1-2-3-0,-2,false,-1.1,122,
136,J,1,3-1-0-2,3,true,1.2,98,
137,6,0,3-0-2-1,-1,false,-1.0,111,
137,6,1,3-1-0-2,3,true,1.2,120,
138,A,0,3-1-0-2,-3,false,-1.2,112,
138,A,1,1-3-0-2,3,true,1.2,108,
139,9,0,1-3-0-2,-3,false,-1.2,142,
139,9,1,3-1-0-2,3,true,1.2,128,
140,T,0,2-3-1-0,1,true,1.0,97,
140,T,1,1-0-2-3,1,true,1.0,116,
141,2,0,0-1-3-2,1,true,1.0,119,
141,2,1,3-1-0-2,3,true,1.2,106,
142,6,0,3-0-2-1,-1,false,-1.0,115,
142,6,1,2-1-3-0,-1,false,-1.0,104,
143,8,0,2-1-3-0,1,true,1.0,107,
143,8,1,1-3-0-2,3,true,1.2,109,
144,3,0,2-0-1-3,3,true,1.2,109,
144,3,1,3-1-0-2,3,true,1.2,98,
145,7,0,2-0-1-3,3,true,1.2,112,
145,7,1,1-0-2-3,1,true,1.0,109,
146,Q,0,2-0-1-3,3,true,1.2,109,
146,Q,1,2-0-1-3,-3,false,-1.2,103,
147,2,0,3-1-0-2,-3,false,-1.2,117,
147,2,1,2-3-0-1,-2,false,-1.1,122,
148,6,0,0-2-1-3,3,true,1.2,89,
148,6,1,3-2-0-1,1,true,1.0,124,
149,A,0,2-0-1-3,3,true,1.2,75,
149,A,1,1-3-0-2,3,true,1.2,114,
150,T,0,0-1-2-3,2,true,1.1,117,
150,T,1,2-3-1-0,-1,false,-1.0,110,
151,5,0,3-0-2-1,-1,false,-1.0,109,
151,5,1,3-1-0-2,3,true,1.2,119,
152,6,0,0-3-1-2,1,true,1.0,120,
152,6,1,3-1-0-2,3,true,1.2,109,
153,9,0,1-2-0-3,-1,false,-1.0,125,
153,9,1,3-1-0-2,3,true,1.2,126,
154,5,0,0-2-1-3,3,true,1.2,125,
154,5,1,1-0-2-3,1,true,1.0,112,
155,7,0,0-2-1-3,3,true,1.2,98,
155,7,1,1-3-0-2,3,true,1.2,90,
156,A,0,2-0-1-3,3,true,1.2,90,
156,A,1,0-3-1-2,-1,false,-1.0,102,
157,9,0,1-3-0-2,-3,false,-1.2,129,
157,9,1,2-1-0-3,-2,false,-1.1,105,
158,4,0,3-1-0-2,-3,false,-1.2,130,
158,4,1,3-1-0-2,3,true,1.2,85,
159,T,0,2-0-1-3,3,true,1.2,105,
