deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
0,8,0,2-3-1-0,1,true,1.0,77,
0,8,1,2-0-1-3,-3,false,-1.2,88,
1,2,0,1-3-0-2,-3,false,-1.2,96,
1,2,1,0-3-1-2,-1,false,-1.0,103,
2,A,0,1-3-0-2,-3,false,-1.2,93,
2,A,1,3-1-0-2,3,true,1.2,102,
3,T,0,1-3-0-2,-3,false,-1.2,121,
3,T,1,3-0-1-2,2,true,1.1,110,
4,2,0,2-0-1-3,3,true,1.2,82,
4,2,1,3-1-0-2,3,true,1.2,114,
5,Q,0,0-3-1-2,1,true,1.0,112,
5,Q,1,0-1-2-3,-2,false,-1.1,106,
6,Q,0,3-2-0-1,-1,false,-1.0,97,
6,Q,1,2-0-1-3,-3,false,-1.2,113,
7,6,0,1-2-3-0,-2,false,-1.1,93,
7,6,1,3-1-0-2,3,true,1.2,82,
8,3,0,2-3-1-0,1,true,1.0,103,
8,3,1,2-0-1-3,-3,false,-1.2,114,
9,6,0,2-0-1-3,3,true,1.2,90,
9,6,1,3-1-0-2,3,true,1.2,100,
10,7,0,1-3-0-2,-3,false,-1.2,124,
10,7,1,0-1-3-2,-1,false,-1.0,114,
11,5,0,0-2-1-3,3,true,1.2,89,
11,5,1,3-2-0-1,1,true,1.0,127,
12,A,0,1-2-0-3,-1,false,-1.0,88,
12,A,1,1-0-2-3,1,true,1.0,111,
13,8,0,1-3-0-2,-3,false,-1.2,104,
13,8,1,2-0-1-3,-3,false,-1.2,109,
14,3,0,3-1-0-2,-3,false,-1.2,112,
14,3,1,3-1-0-2,3,true,1.2,102,
15,8,0,2-3-1-0,1,true,1.0,88,
15,8,1,1-3-0-2,3,true,1.2,87,
16,6,0,2-3-1-0,1,true,1.0,100,
16,6,1,3-2-1-0,2,true,1.1,103,
17,K,0,0-1-3-2,1,true,1.0,108,
17,K,1,1-2-3-0,2,true,1.1,109,
18,K,0,3-1-0-2,-3,false,-1.2,98,
18,K,1,1-3-0-2,3,true,1.2,79,
19,A,0,0-2-1-3,3,true,1.2,97,
19,A,1,0-3-1-2,-1,false,-1.0,105,
20,4,0,2-0-1-3,3,true,1.2,101,
20,4,1,3-1-0-2,3,true,1.2,93,
21,5,0,0-3-1-2,1,true,1.0,97,
21,5,1,1-0-3-2,2,true,1.1,107,
22,9,0,0-3-1-2,1,true,1.0,112,
22,9,1,2-0-1-3,-3,false,-1.2,99,
23,4,0,2-0-1-3,3,true,1.2,103,
23,4,1,0-1-3-2,-1,false,-1.0,118,
24,6,0,1-3-0-2,-3,false,-1.2,110,
24,6,1,3-1-0-2,3,true,1.2,111,
25,5,0,0-3-1-2,1,true,1.0,110,
25,5,1,2-3-1-0,-1,false,-1.0,102,
26,4,0,3-0-2-1,-1,false,-1.0,103,
26,4,1,1-2-3-0,2,true,1.1,96,
27,4,0,2-1-3-0,1,true,1.0,88,
27,4,1,2-1-3-0,-1,false,-1.0,103,
28,A,0,2-0-1-3,3,true,1.2,88,
28,A,1,1-3-0-2,3,true,1.2,94,
29,5,0,3-1-0-2,-3,false,-1.2,124,
29,5,1,3-2-1-0,2,true,1.1,98,
30,K,0,0-2-1-3,3,true,1.2,94,
30,K,1,3-0-2-1,1,true,1.0,104,
31,8,0,2-0-1-3,3,true,1.2,99,
31,8,1,3-1-0-2,3,true,1.2,120,
32,3,0,0-3-2-1,2,true,1.1,106,
32,3,1,1-2-0-3,1,true,1.0,115,
33,J,0,3-0-2-1,-1,false,-1.0,107,
33,J,1,3-1-0-2,3,true,1.2,98,
34,5,0,1-3-0-2,-3,false,-1.2,134,
34,5,1,2-1-3-0,-1,false,-1.0,100,
35,Q,0,1-2-0-3,-1,false,-1.0,113,
35,Q,1,3-1-0-2,3,true,1.2,111,
36,K,0,2-1-3-0,1,true,1.0,117,
36,K,1,1-2-3-0,2,true,1.1,96,
37,6,0,1-2-3-0,-2,false,-1.1,102,
37,6,1,1-2-0-3,1,true,1.0,106,
38,5,0,2-0-1-3,3,true,1.2,99,
38,5,1,1-2-0-3,1,true,1.0,104,
39,8,0,2-1-3-0,1,true,1.0,97,
39,8,1,1-0-3-2,2,true,1.1,111,
40,K,0,3-0-1-2,-2,false,-1.1,115,
40,K,1,3-0-1-2,2,true,1.1,108,
41,9,0,0-2-1-3,3,true,1.2,102,
41,9,1,0-3-1-2,-1,false,-1.0,104,
42,6,0,0-2-1-3,3,true,1.2,73,
42,6,1,0-1-3-2,-1,false,-1.0,113,
43,5,0,3-1-0-2,-3,false,-1.2,103,
43,5,1,1-0-2-3,1,true,1.0,115,
44,8,0,2-1-0-3,2,true,1.1,113,
44,8,1,1-3-0-2,3,true,1.2,96,
45,K,0,3-1-0-2,-3,false,-1.2,108,
45,K,1,1-3-0-2,3,true,1.2,124,
46,K,0,3-0-1-2,-2,false,-1.1,111,
46,K,1,1-2-0-3,1,true,1.0,116,
47,4,0,3-0-2-1,-1,false,-1.0,105,
47,4,1,3-2-0-1,1,true,1.0,91,
48,2,0,0-1-3-2,1,true,1.0,86,
48,2,1,1-2-3-0,2,true,1.1,92,
49,7,0,3-2-0-1,-1,false,-1.0,109,
49,7,1,1-3-0-2,3,true,1.2,119,
50,6,0,0-1-2-3,2,true,1.1,99,
50,6,1,3-0-1-2,2,true,1.1,105,
51,J,0,0-3-2-1,2,true,1.1,104,
51,J,1,3-2-0-1,1,true,1.0,84,
52,8,0,0-2-1-3,3,true,1.2,108,
52,8,1,1-0-2-3,1,true,1.0,109,
53,6,0,0-2-1-3,3,true,1.2,107,
53,6,1,3-2-1-0,2,true,1.1,131,
54,6,0,3-1-0-2,-3,false,-1.2,125,
54,6,1,3-0-1-2,2,true,1.1,92,
55,2,0,2-0-1-3,3,true,1.2,108,
55,2,1,3-2-1-0,2,true,1.1,117,
56,J,0,2-0-1-3,3,true,1.2,88,
56,J,1,2-1-0-3,-2,false,-1.1,96,
57,2,0,1-0-3-2,-2,false,-1.1,126,
57,2,1,1-0-3-2,2,true,1.1,97,
58,7,0,2-0-1-3,3,true,1.2,94,
58,7,1,1-3-0-2,3,true,1.2,112,
59,T,0,2-1-3-0,1,true,1.0,117,
59,T,1,2-3-1-0,-1,false,-1.0,103,
60,8,0,0-2-1-3,3,true,1.2,116,
60,8,1,0-3-1-2,-1,false,-1.0,99,
61,J,0,2-1-3-0,1,true,1.0,108,
61,J,1,0-1-3-2,-1,false,-1.0,111,
62,T,0,2-3-1-0,1,true,1.0,95,
62,T,1,1-2-0-3,1,true,1.0,102,
63,Q,0,0-1-3-2,1,true,1.0,104,
63,Q,1,1-0-2-3,1,true,1.0,84,
64,9,0,2-0-1-3,3,true,1.2,102,
64,9,1,3-1-0-2,3,true,1.2,91,
65,2,0,0-1-3-2,1,true,1.0,111,
65,2,1,1-2-0-3,1,true,1.0,112,
66,8,0,1-2-3-0,-2,false,-1.1,103,
66,8,1,2-1-3-0,-1,false,-1.0,124,
67,3,0,0-3-1-2,1,true,1.0,95,
67,3,1,1-0-3-2,2,true,1.1,92,
68,4,0,2-1-3-0,1,true,1.0,101,
68,4,1,0-1-3-2,-1,false,-1.0,102,
69,T,0,2-0-1-3,3,true,1.2,92,
69,T,1,1-0-2-3,1,true,1.0,112,
70,5,0,2-0-1-3,3,true,1.2,82,
70,5,1,2-0-1-3,-3,false,-1.2,97,
71,8,0,2-0-1-3,3,true,1.2,101,
71,8,1,3-2-1-0,2,true,1.1,112,
72,K,0,2-3-1-0,1,true,1.0,109,
72,K,1,2-0-1-3,-3,false,-1.2,92,
73,5,0,0-2-1-3,3,true,1.2,116,
73,5,1,2-3-1-0,-1,false,-1.0,100,
74,5,0,2-0-1-3,3,true,1.2,83,
74,5,1,3-0-2-1,1,true,1.0,88,
75,6,0,1-3-0-2,-3,false,-1.2,95,
75,6,1,1-3-0-2,3,true,1.2,71,
76,8,0,2-1-3-0,1,true,1.0,102,
76,8,1,2-3-1-0,-1,false,-1.0,117,
77,3,0,0-1-3-2,1,true,1.0,105,
77,3,1,3-0-2-1,1,true,1.0,114,
78,8,0,2-0-1-3,3,true,1.2,98,
78,8,1,0-2-1-3,-3,false,-1.2,112,
79,Q,0,3-2-1-0,-2,false,-1.1,116,
79,Q,1,1-2-0-3,1,true,1.0,94,
80,7,0,0-2-1-3,3,true,1.2,119,
80,7,1,2-0-1-3,-3,false,-1.2,100,
81,8,0,0-1-2-3,2,true,1.1,70,
81,8,1,3-1-0-2,3,true,1.2,101,
82,8,0,3-2-0-1,-1,false,-1.0,103,
82,8,1,3-2-0-1,1,true,1.0,112,
83,7,0,0-3-1-2,1,true,1.0,109,
83,7,1,0-3-1-2,-1,false,-1.0,94,
84,7,0,2-1-3-0,1,true,1.0,106,
84,7,1,2-0-1-3,-3,false,-1.2,108,
85,3,0,0-2-1-3,3,true,1.2,96,
85,3,1,0-3-1-2,-1,false,-1.0,98,
86,5,0,0-2-1-3,3,true,1.2,93,
86,5,1,3-0-1-2,2,true,1.1,100,
87,T,0,0-2-1-3,3,true,1.2,115,
87,T,1,1-0-2-3,1,true,1.0,114,
88,A,0,0-1-3-2,1,true,1.0,106,
88,A,1,2-1-3-0,-1,false,-1.0,91,
89,K,0,2-0-1-3,3,true,1.2,75,
89,K,1,1-3-0-2,3,true,1.2,96,
90,4,0,2-3-1-0,1,true,1.0,114,
