deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
0,5,0,1-3-0-2,-3,false,-1.2,96,
0,5,1,3-1-0-2,3,true,1.2,91,
1,Q,0,0-3-1-2,1,true,1.0,87,
1,Q,1,1-3-0-2,3,true,1.2,115,
2,K,0,1-0-3-2,-2,false,-1.1,106,
2,K,1,2-3-1-0,-1,false,-1.0,105,
3,5,0,0-3-1-2,1,true,1.0,92,
3,5,1,0-3-1-2,-1,false,-1.0,90,
4,7,0,0-3-1-2,1,true,1.0,98,
4,7,1,1-0-2-3,1,true,1.0,92,
5,Q,0,2-1-3-0,1,true,1.0,94,
5,Q,1,3-1-0-2,3,true,1.2,99,
6,4,0,0-2-1-3,3,true,1.2,103,
6,4,1,2-3-1-0,-1,false,-1.0,97,
7,2,0,0-3-1-2,1,true,1.0,81,
7,2,1,1-0-2-3,1,true,1.0,121,
8,J,0,2-1-3-0,1,true,1.0,101,
8,J,1,1-0-2-3,1,true,1.0,93,
9,A,0,3-0-2-1,-1,false,-1.0,100,
9,A,1,3-1-0-2,3,true,1.2,81,
10,8,0,1-2-3-0,-2,false,-1.1,109,
10,8,1,1-0-2-3,1,true,1.0,112,
11,T,0,0-2-1-3,3,true,1.2,111,
11,T,1,2-0-1-3,-3,false,-1.2,104,
12,A,0,0-1-3-2,1,true,1.0,106,
12,A,1,1-3-0-2,3,true,1.2,93,
13,8,0,3-0-1-2,-2,false,-1.1,95,
13,8,1,3-2-0-1,1,true,1.0,97,
14,3,0,0-2-1-3,3,true,1.2,94,
14,3,1,2-0-1-3,-3,false,-1.2,96,
15,3,0,2-0-1-3,3,true,1.2,104,
15,3,1,1-2-3-0,2,true,1.1,96,
16,5,0,3-2-0-1,-1,false,-1.0,111,
16,5,1,2-0-1-3,-3,false,-1.2,103,
17,4,0,3-1-0-2,-3,false,-1.2,91,
17,4,1,0-3-1-2,-1,false,-1.0,107,
18,6,0,2-1-3-0,1,true,1.0,103,
18,6,1,2-0-1-3,-3,false,-1.2,110,
19,9,0,1-2-3-0,-2,false,-1.1,119,
19,9,1,2-0-1-3,-3,false,-1.2,110,
20,9,0,1-3-0-2,-3,false,-1.2,104,
20,9,1,1-3-0-2,3,true,1.2,117,
21,2,0,1-3-0-2,-3,false,-1.2,86,
21,2,1,1-3-0-2,3,true,1.2,100,
22,7,0,0-1-3-2,1,true,1.0,94,
22,7,1,0-3-1-2,-1,false,-1.0,94,
23,7,0,0-2-1-3,3,true,1.2,91,
23,7,1,1-3-0-2,3,true,1.2,124,
24,K,0,2-1-3-0,1,true,1.0,94,
24,K,1,2-0-1-3,-3,false,-1.2,110,
25,6,0,2-3-1-0,1,true,1.0,106,
25,6,1,0-2-1-3,-3,false,-1.2,112,
26,4,0,3-1-0-2,-3,false,-1.2,103,
26,4,1,0-1-3-2,-1,false,-1.0,105,
27,3,0,1-2-0-3,-1,false,-1.0,93,
27,3,1,1-2-0-3,1,true,1.0,98,
28,A,0,1-0-3-2,-2,false,-1.1,104,
28,A,1,1-3-0-2,3,true,1.2,84,
29,6,0,0-1-3-2,1,true,1.0,104,
29,6,1,0-1-3-2,-1,false,-1.0,101,
30,8,0,2-3-1-0,1,true,1.0,119,
30,8,1,3-0-2-1,1,true,1.0,114,
31,5,0,0-3-1-2,1,true,1.0,94,
31,5,1,1-3-0-2,3,true,1.2,86,
32,9,0,2-0-1-3,3,true,1.2,95,
32,9,1,0-3-1-2,-1,false,-1.0,124,
33,A,0,2-1-0-3,2,true,1.1,101,
33,A,1,3-0-2-1,1,true,1.0,108,
34,5,0,3-1-0-2,-3,false,-1.2,89,
34,5,1,1-3-0-2,3,true,1.2,93,
35,5,0,1-0-3-2,-2,false,-1.1,90,
35,5,1,1-3-0-2,3,true,1.2,84,
36,3,0,0-1-3-2,1,true,1.0,99,
36,3,1,1-0-3-2,2,true,1.1,102,
37,T,0,3-1-0-2,-3,false,-1.2,87,
37,T,1,3-1-0-2,3,true,1.2,93,
38,9,0,2-1-3-0,1,true,1.0,98,
38,9,1,2-3-1-0,-1,false,-1.0,101,
39,7,0,3-0-2-1,-1,false,-1.0,109,
39,7,1,0-3-1-2,-1,false,-1.0,97,
40,Q,0,0-3-2-1,2,true,1.1,99,
40,Q,1,3-2-0-1,1,true,1.0,97,
41,T,0,3-2-0-1,-1,false,-1.0,106,
41,T,1,1-3-0-2,3,true,1.2,99,
42,8,0,0-1-3-2,1,true,1.0,89,
42,8,1,2-1-3-0,-1,false,-1.0,92,
43,3,0,2-1-3-0,1,true,1.0,94,
43,3,1,2-1-3-0,-1,false,-1.0,101,
44,5,0,2-3-1-0,1,true,1.0,106,
44,5,1,3-0-2-1,1,true,1.0,80,
45,K,0,0-2-1-3,3,true,1.2,102,
45,K,1,1-2-0-3,1,true,1.0,100,
46,3,0,0-3-1-2,1,true,1.0,98,
46,3,1,3-0-1-2,2,true,1.1,88,
47,6,0,2-1-3-0,1,true,1.0,89,
47,6,1,1-2-3-0,2,true,1.1,98,
48,5,0,3-0-1-2,-2,false,-1.1,100,
48,5,1,0-3-2-1,-2,false,-1.1,80,
49,9,0,3-2-1-0,-2,false,-1.1,113,
49,9,1,1-3-0-2,3,true,1.2,100,
