deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
0,5,0,0-3-1-2,1,true,1.0,99,45
0,5,1,3-1-0-2,3,true,1.2,111,49
1,7,0,1-2-0-3,-1,false,-1.0,95,53
1,7,1,3-1-0-2,3,true,1.2,103,50
2,9,0,2-0-1-3,3,true,1.2,112,56
2,9,1,3-0-1-2,2,true,1.1,110,52
3,J,0,2-1-3-0,1,true,1.0,100,46
3,J,1,1-0-3-2,2,true,1.1,94,47
4,2,0,2-3-1-0,1,true,1.0,120,59
4,2,1,1-2-3-0,2,true,1.1,88,38
5,7,0,0-3-1-2,1,true,1.0,103,50
5,7,1,0-3-2-1,-2,false,-1.1,110,56
6,9,0,0-2-1-3,3,true,1.2,99,49
6,9,1,0-2-1-3,-3,false,-1.2,117,59
7,9,0,3-1-0-2,-3,false,-1.2,118,61
7,9,1,3-1-0-2,3,true,1.2,86,39
8,T,0,3-1-0-2,-3,false,-1.2,106,53
8,T,1,2-0-1-3,-3,false,-1.2,128,64
9,Q,0,2-0-1-3,3,true,1.2,115,58
9,Q,1,3-1-0-2,3,true,1.2,111,55
10,2,0,1-0-3-2,-2,false,-1.1,110,57
10,2,1,3-0-1-2,2,true,1.1,98,45
11,7,0,2-3-1-0,1,true,1.0,104,46
11,7,1,2-3-1-0,-1,false,-1.0,96,52
12,2,0,1-3-0-2,-3,false,-1.2,115,57
12,2,1,1-2-0-3,1,true,1.0,113,54
13,9,0,0-1-3-2,1,true,1.0,118,53
13,9,1,0-2-1-3,-3,false,-1.2,98,51
14,7,0,3-1-0-2,-3,false,-1.2,110,61
14,7,1,3-1-0-2,3,true,1.2,89,42
15,4,0,2-0-1-3,3,true,1.2,97,45
15,4,1,1-3-0-2,3,true,1.2,92,44
16,J,0,0-1-3-2,1,true,1.0,95,46
16,J,1,1-2-0-3,1,true,1.0,102,50
17,3,0,1-3-0-2,-3,false,-1.2,104,53
17,3,1,1-0-2-3,1,true,1.0,108,53
18,9,0,1-3-0-2,-3,false,-1.2,102,51
18,9,1,1-3-0-2,3,true,1.2,98,48
19,T,0,1-3-0-2,-3,false,-1.2,102,52
19,T,1,1-0-2-3,1,true,1.0,101,49
