deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
0,Q,0,2-0-1-3,3,true,1.2,109,55
0,Q,1,1-3-0-2,3,true,1.2,98,49
1,9,0,2-0-1-3,3,true,1.2,99,48
1,9,1,0-2-1-3,-3,false,-1.2,108,54
2,4,0,0-2-1-3,3,true,1.2,95,47
2,4,1,0-1-3-2,-1,false,-1.0,114,60
3,6,0,2-1-3-0,1,true,1.0,129,62
3,6,1,3-1-0-2,3,true,1.2,101,51
4,7,0,1-3-0-2,-3,false,-1.2,117,65
4,7,1,1-2-3-0,2,true,1.1,92,45
5,Q,0,3-2-1-0,-2,false,-1.1,87,49
5,Q,1,3-1-0-2,3,true,1.2,106,52
6,K,0,3-1-0-2,-3,false,-1.2,103,52
6,K,1,0-1-3-2,-1,false,-1.0,104,52
7,Q,0,0-2-1-3,3,true,1.2,88,43
7,Q,1,3-2-0-1,1,true,1.0,100,47
8,7,0,0-1-3-2,1,true,1.0,108,53
8,7,1,3-2-0-1,1,true,1.0,120,59
9,2,0,0-3-1-2,1,true,1.0,82,38
9,2,1,3-0-1-2,2,true,1.1,109,54
